,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.3,-24.171994790275306,20,10,11,589.9069998264313,-24.173917257467114,26,948.9449999332428
0,0.3,-24.71219470580057,20,10,11,582.8610000610352,-24.716363803971795,15,670.7190001010895
0,0.3,-23.98226648057056,20,10,11,615.8689999580383,-24.017770149916768,20,742.5859999656677
0,0.3,-7.831081235007967,25,3,13,566.3340001106262,-7.827963600678798,17,491.5369999408722
0,0.3,-7.985339028533624,25,3,12,519.4409999847412,-7.985507225723122,13,488.12599992752075
0,0.3,-7.7299747166602835,25,3,13,628.547000169754,-7.7318727360251955,19,676.0650000572205
0,0.3,-7.836162805642321,25,3,19,880.970999956131,-7.81397273357938,14,473.0440001487732
0,0.3,-7.671089193808857,25,3,12,488.6100001335144,-7.672827790901989,18,607.8320000171661
0,0.3,-12.339646098861884,25,5,12,758.7799999713898,-12.33218261026756,11,511.18099999427795
0,0.3,-12.83444607097757,25,5,12,652.8259999752045,-12.831603128816095,11,461.9140000343323
0,0.3,-12.500433636748454,25,5,15,832.4920001029968,-12.49538241549456,16,647.085000038147
0,0.3,-12.631136815436918,25,5,10,516.5060000419617,-12.631416867110158,15,593.2769999504089
0,0.3,-12.626840276784748,25,5,14,840.8310000896454,-12.62284549010959,21,779.4820001125336
0,0.3,-24.240775144923365,25,10,16,1548.5199999809265,-24.240192882691947,17,1107.9590001106262
0,0.3,-24.56475421468881,25,10,9,836.569000005722,-24.5665240781793,28,1622.3430001735687
0,0.3,-24.64538016779521,25,10,13,1105.292000055313,-24.649471655195946,21,1124.5970001220703
0,0.3,-24.52639667481131,25,10,12,916.5940001010895,-24.53486115588823,22,1183.6470000743866
0,0.3,-24.508744159122912,25,10,13,1072.5910000801086,-24.509479683385877,14,806.4470000267029
0,0.8,-7.019334134654658,4,3,17,43.396000146865845,-7.0288654576904595,23,29.97000002861023
0,0.8,-7.538597375084661,4,3,7,20.322999954223633,-7.540305320569543,14,22.32099986076355
0,0.8,-7.405265437280847,4,3,9,26.23799991607666,-7.406969831063638,11,20.420999765396118
0,0.8,-7.501625726301817,4,3,9,20.740999937057495,-7.504837800648975,15,21.47699999809265
0,0.8,-7.071823737228653,4,3,11,26.31500005722046,-7.07418513376544,21,28.467999935150146
0,0.8,-11.625398154564163,4,5,98,286.01900005340576,-11.381959478064315,127,235.1840000152588
