,1.nx,2.ny,3.d,4.total iterations[MDF],5.total time[MDF],6.final_objective[MDF],7.str_count[MDF],8.aer_count[MDF],9.pro_count[MDF],10.total iterations[IDF_tol],11.total time[IDF_tol],12.final_objective[IDF_tol],13.str_count[IDF_tol],14.aer_count[IDF_tol],15.pro_count[IDF_tol]
0,3,3,0.6,15,22.651000022888184,-6.8166034253842,1075.0,1075.0,955.0,36,28.539000034332275,-6.832523342306805,1440.0,1440.0,1140.0
0,3,3,0.6,6,13.152999877929688,-7.590279663113009,640.0,640.0,565.0,15,14.440999984741211,-7.592348534522835,820.0,820.0,655.0
0,3,3,0.6,11,25.01099991798401,-7.327357079977039,1140.0,1140.0,990.0,21,21.91599988937378,-7.329574133917571,1085.0,1085.0,860.0
0,3,3,0.6,7,13.924000024795532,-7.282678861259397,660.0,660.0,585.0,24,19.64199995994568,-7.296064526675471,1030.0,1030.0,820.0
0,3,4,0.6,10,29.47000002861023,-9.940152655481507,1080.0,1080.0,920.0,20,26.85599994659424,-9.94985513116983,1095.0,1095.0,835.0
0,3,4,0.6,8,23.126999855041504,-9.444313774003273,855.0,855.0,735.0,24,29.51699995994568,-9.456963071665282,1180.0,1180.0,900.0
0,3,4,0.6,9,33.78200006484985,-9.381645583632446,1275.0,1275.0,1135.0,26,31.05299997329712,-9.392216410423288,1365.0,1365.0,1045.0
0,3,4,0.6,9,28.680000066757202,-9.851755792613211,1135.0,1135.0,995.0,17,26.152999877929688,-9.853631463886243,1170.0,1170.0,890.0
0,3,4,0.6,12,38.62700009346008,-8.818669743391164,1275.0,1275.0,1095.0,31,38.02400016784668,-8.832438267010033,1420.0,1420.0,1080.0
0,3,5,0.6,10,42.753000020980835,-12.138329546581602,1175.0,1175.0,1000.0,20,37.15300011634827,-12.174841780298594,1150.0,1150.0,850.0
0,3,5,0.6,8,35.0530002117157,-12.386277824659972,1040.0,1040.0,890.0,26,50.58399987220764,-12.393046368654836,1590.0,1590.0,1165.0
0,3,5,0.6,21,77.8659999370575,-10.552110597770074,2165.0,2165.0,1865.0,71,108.66199994087219,-10.554156480619984,3245.0,3245.0,2370.0
0,3,5,0.6,9,39.790000200271606,-12.334315923490436,1140.0,1140.0,965.0,24,46.401999950408936,-12.336933951730249,1495.0,1495.0,1095.0
0,3,5,0.6,29,93.5220000743866,-11.395473686033897,2625.0,2625.0,2350.0,28,52.63499999046326,-11.405164578215125,1590.0,1590.0,1165.0
0,3,6,0.6,11,61.836000204086304,-14.78948160187576,1530.0,1530.0,1260.0,27,55.638999938964844,-14.85627088856542,1575.0,1575.0,1125.0
0,3,6,0.6,7,38.575000047683716,-14.159365067016962,940.0,940.0,790.0,22,60.3970000743866,-14.162029088773643,1565.0,1565.0,1115.0
0,3,6,0.6,12,55.36999988555908,-13.870953817896861,1345.0,1345.0,1165.0,39,92.0090000629425,-13.869650248538541,2365.0,2365.0,1675.0
